6|11,||0|0|
18|1,13,||0|0|
100|10,15,||0|0|
67|5,14,||0|0|
64|5,9,||0|0|
31|2,10,||0|0|
78|6,17,||0|0|
34|2,13,||0|0|
49|3,15,||0|0|
26|2,5,||0|0|
10|1,5,||0|0|
96|8,17,||0|0|
134|9,16,||0|0|
61|5,6,||0|0|
124|17,||0|0|
40|3,5,||0|0|
70|6,||0|0|
103|11,12,||0|0|
133|9,13,||0|0|
9|1,4,||0|0|
4|13,||0|0|
85|7,14,||0|0|
62|5,7,||0|0|
54|4,9,||0|0|
138|4,13,||0|0|
128|9,||0|0|
48|3,14,||0|0|
36|2,15,||0|0|
91|8,12,||0|0|
118|14,17,||0|0|
68|5,16,||0|0|
13|1,8,||0|0|
106|11,15,||0|0|
86|7,15,||0|0|
98|10,13,||0|0|
125|1,2,||0|0|
45|3,10,||0|0|
136|9,14,||0|0|
130||1,|0|0|
47|3,13,||0|0|
87|7,16,||0|0|
20|1,15,||0|0|
53|4,5,||0|0|
32|2,11,||0|0|
89|8,||0|0|
129|9,10,||0|0|
77|6,16,||0|0|
97|10,12,||0|0|
109|12,||0|0|
43|3,8,||0|0|
3|14,||0|0|
93|8,14,||0|0|
101|10,16,||0|0|
90|8,11,||0|0|
60|5,||0|0|
51|3,17,||0|0|
92|8,13,||0|0|
117|14,16,||0|0|
28|2,7,||0|0|
46|3,12,||0|0|
50|3,16,||0|0|
38|2,17,||0|0|
110|12,15,||0|0|
132|9,12,||0|0|
121|15,17,||0|0|
59|4,17,||0|0|
21|1,16,||0|0|
84|7,13,||0|0|
35|2,14,||0|0|
80|7,8,||0|0|
1|10,||0|0|
69|5,17,||0|0|
30|2,9,||0|0|
19|1,14,||0|0|
75|6,13,||0|0|
57|4,14,||0|0|
27|2,6,||0|0|
105|11,14,||0|0|
66|5,13,||0|0|
2|||0|0|
12|1,7,||0|0|
44|3,9,||0|0|
11|1,6,||0|0|
71|6,7,||0|0|
122|16,||0|0|
126|1,5,6,||0|0|
127|6,16,17,||0|0|
65|5,11,||0|0|
99|10,14,||0|0|
88|7,17,||0|0|
76|6,14,||0|0|
22|1,17,||0|0|
81|7,10,||0|0|
55|4,10,||0|0|
8|1,3,||0|0|
131|1,3,|1,|0|0|
116|14,15,||0|0|
120|15,16,||0|0|
135|9,17,||0|0|
137|9,15,||0|0|
119|15,||0|0|
82|7,11,||0|0|
95|8,16,||0|0|
16|1,11,||0|0|
52|4,||0|0|
63|5,8,||0|0|
58|4,15,||0|0|
115|13,17,||0|0|
114|13,16,||0|0|
113|13,15,||0|0|
94|8,15,||0|0|
112|12,17,||0|0|
41|3,6,||0|0|
15|1,10,||0|0|
108|11,17,||0|0|
104|11,13,||0|0|
17|1,12,||0|0|
37|2,16,||0|0|
102|10,17,||0|0|
73|6,9,||0|0|
33|2,12,||0|0|
72|6,8,||0|0|
5|13,14,||0|0|
107|11,16,||0|0|
79|7,||0|0|
56|4,12,||0|0|
7|1,||0|0|
14|1,9,||0|0|
24|2,3,||0|0|
74|6,11,||0|0|
39|3,||0|0|
25|2,4,||0|0|
42|3,7,||0|0|
123|16,17,||0|0|
23|2,||0|0|
29|2,8,||0|0|
111|12,16,||0|0|
83|7,12,||0|0|
