3|1|2||1,76
4|1|2|1|1
5|1|2|1,3|15
6|1|2|1,4|6
7|1|2|1,5|4
8|1|2|1,6|6,76
9|1|2|1,7|1
10|1|2|1,8|1
11|1|2|1,9|21,76
12|1|2|1,10|15,76
13|1|2|1,11|14
14|1|2|1,12|1
15|1|2|1,13|13
16|1|2|1,14|1
17|1|2|1,15|15
18|1|2|1,16|1
19|1|2|1,17|14,81
20|1|2|2|8,50
21|1|2|2,3|15
22|1|2|2,4|14
23|1|2|2,5|81
24|1|2|2,6|6
25|1|2|2,7|7
26|1|2|2,8|8,50
27|1|2|2,9|9
28|1|2|2,10|1,15
29|1|2|2,11|13
30|1|2|2,12|1,15
31|1|2|2,13|13
32|1|2|2,14|1,14
33|1|2|2,15|1,15
34|1|2|2,16|11
35|1|2|2,17|14,81
36|1|2|3|12
37|1|2|3,5|1,16
38|1|2|3,6|1,6,15
39|1|2|3,7|1,15
40|1|2|3,8|1,15
41|1|2|3,9|1,21
42|1|2|3,10|1,12,41
43|1|2|3,12|1,12
44|1|2|3,13|1,10
45|1|2|3,14|1,10,83
46|1|2|3,15|1,15
47|1|2|3,16|1
48|1|2|3,17|80,83
49|1|2|4|8,50
50|1|2|4,5|30,81
51|1|2|4,9|1,83
52|1|2|4,10|1,40
53|1|2|4,12|1,15
54|1|2|4,14|14,30
55|1|2|4,15|1,15
56|1|2|4,17|68,81
57|1|2|5|14,68
58|1|2|5,6|6,81
59|1|2|5,7|7,30
60|1|2|5,8|8,30,50
61|1|2|5,9|6,16,33
62|1|2|5,11|14,37,81
63|1|2|5,13|14,30,46
64|1|2|5,14|7,14,68
65|1|2|5,16|6,30
66|1|2|5,17|14,31,68,81
67|1|2|6|6,8
68|1|2|6,7|6,7,46
69|1|2|6,8|6,8,46
70|1|2|6,9|1,76
71|1|2|6,11|6,30
72|1|2|6,13|6,8,46
73|1|2|6,14|6,14
74|1|2|6,16|6
75|1|2|6,17|6,68,81
76|1|2|7|30,46
77|1|2|7,8|8,30,46
78|1|2|7,10|1,73
79|1|2|7,11|30,46,68
80|1|2|7,12|1,11
81|1|2|7,13|13,46,68
82|1|2|7,14|14,46,68
83|1|2|7,15|1,76
84|1|2|7,16|8,46,50
85|1|2|7,17|68
86|1|2|8|8,50
87|1|2|8,11|30,50
