2600|2|2,9,10|1|50,73|не вкурил
2601|2|2,9,10|1,3|50,79|вкурил
2602|2|2,9,10|1,4|50,56|врешь
2603|2|2,9,10|1,5|50,79|не поперхнись
2604|2|2,9,10|1,6|50,79|не гони
2605|2|2,9,10|1,7|9,79|развеемся
2606|2|2,9,10|1,8|50,79|посмотрим
2607|2|2,9,10|1,9|1,79|к черту
2608|2|2,9,10|1,10|12,56,84|отвали
2609|2|2,9,10|1,11|56,79|круто
2610|2|2,9,10|1,12|1,79|задолбал
2611|2|2,9,10|1,13|50,79|охренеть
2612|2|2,9,10|1,14|50,79|ух ты
2613|2|2,9,10|1,15|50,56,79|ой
2614|2|2,9,10|1,16|9,50,79|стоять
2615|2|2,9,10|1,17|50,79|не кашляй
2616|2|2,9,10|2|50,73|ок
2617|2|2,9,10|2,3|56,73|усвоил
2618|2|2,9,10|2,4|50,56|ага
2619|2|2,9,10|2,5|50,56|жри
2620|2|2,9,10|2,6|50,79|ничего
2621|2|2,9,10|2,7|50|сыграем
2622|2|2,9,10|2,8|50|освой
2623|2|2,9,10|2,9|50|по барабану
2624|2|2,9,10|2,10|56,73|вот тебе
2625|2|2,9,10|2,11|50,56|хороший
2626|2|2,9,10|2,12|50,56|так и думал
2627|2|2,9,10|2,13|50,56|блеск
2628|2|2,9,10|2,14|50,56|шик
2629|2|2,9,10|2,15|50,79|очково
2630|2|2,9,10|2,16|9,50|да ладно
2631|2|2,9,10|2,17|50,56|исцелил
2632|2|2,9,10|3|50,56|пофиг
2633|2|2,9,10|3,5|50,56|а ну жри
2634|2|2,9,10|3,6|62,79|чтобы неповадно было
2635|2|2,9,10|3,7|9,56|а ну играй
2636|2|2,9,10|3,8|50,56|а ну учи
2637|2|2,9,10|3,9|50,56|пошел к черту
2638|2|2,9,10|3,10|73,84|придушу
2639|2|2,9,10|3,12|50,56|придушу ведь
2640|2|2,9,10|3,13|50,56|идиот
2641|2|2,9,10|3,14|50,56|ах ты гнида
2642|2|2,9,10|3,15|50,56,79|больно?
2643|2|2,9,10|3,16|9,56,62|пройдет
2644|2|2,9,10|3,17|50,56|на пользу
2645|2|2,9,10|4|50,56,62|молоток
2646|2|2,9,10|4,5|50,56|заслужил
2647|2|2,9,10|4,9|56,79|вот и хорошо
2648|2|2,9,10|4,10|56,73|допрыгался
2649|2|2,9,10|4,12|56,79|ну прости
