1|0|6|0|0|0
2|1|6|1|0|0
3|2|6|1|1|0
4|3|6|1|1|1
5|0|13861|0|0|0
6|5|13861|1|0|0
7|6|13861|1|1|0
8|7|13861|1|1|1
51|5|13861|3|0|0
52|51|13861|3|1|0
53|52|13861|3|1|1
9|0|6471|0|0|0
10|9|6471|3|0|0
11|10|6471|3|1|0
12|11|6471|3|1|1
13|0|10218|0|0|0
14|13|10218|3|0|0
15|14|10218|3|1|0
16|15|10218|3|1|1
17|0|10226|0|0|0
18|17|10226|3|0|0
19|18|10226|3|1|0
20|19|10226|3|1|1
21|0|13869|0|0|0
22|21|13869|1|0|0
23|22|13869|1|1|0
24|23|13869|1|1|1
25|0|13872|0|0|0
26|25|13872|7|0|0
27|26|13872|7|1|0
28|27|13872|7|1|1
33|25|13872|3|0|0
34|33|13872|3|1|0
35|34|13872|3|1|1
151|25|13872|9|0|0
152|151|13872|9|1|0
153|152|13872|9|1|1
29|0|10306|0|0|0
30|29|10306|1|0|0
31|30|10306|1|1|0
32|31|10306|1|1|1
36|29|10306|3|0|0
37|36|10306|3|1|0
38|37|10306|3|1|1
39|0|13874|0|0|0
40|39|13874|8|0|0
41|40|13874|8|1|0
42|41|13874|8|1|1
43|0|13876|0|0|0
44|43|13876|7|0|0
45|44|13876|7|1|0
46|45|13876|7|1|1
47|0|13877|0|0|0
48|47|13877|3|0|0
49|48|13877|3|1|0
50|49|13877|3|1|1
54|0|13862|0|0|0
55|54|13862|2|0|0
56|55|13862|2|1|0
57|56|13862|2|1|1
100|54|13862|1|0|0
101|100|13862|1|1|0
102|101|13862|1|1|1
58|0|13878|0|0|0
59|58|13878|1|0|0
60|59|13878|1|1|0
61|60|13878|1|1|1
154|58|13878|3|0|0
155|154|13878|3|1|0
156|155|13878|3|1|1
62|0|12936|0|0|0
63|62|12936|1|0|0
64|63|12936|1|1|0
65|64|12936|1|1|1
184|62|12936|9|0|0
185|184|12936|9|1|0
186|185|12936|9|1|1
66|0|13881|0|0|0
67|66|13881|1|0|0
68|67|13881|1|1|0
69|68|13881|1|1|1
70|0|13883|0|0|0
71|70|13883|3|0|0
72|71|13883|3|1|0
73|72|13883|3|1|1
74|0|13885|0|0|0
75|74|13885|3|0|0
76|75|13885|3|1|0
77|76|13885|3|1|1
78|0|13887|0|0|0
79|78|13887|3|0|0
80|79|13887|3|1|0
81|80|13887|3|1|1
82|78|13887|9|0|0
83|82|13887|9|1|0
84|83|13887|9|1|1
85|0|13889|0|0|0
86|85|13889|2|0|0
87|86|13889|2|1|0
88|87|13889|2|1|1
89|0|13890|0|0|0
90|89|13890|3|0|0
91|90|13890|3|1|0
92|91|13890|3|1|1
103|89|13890|9|0|0
104|103|13890|9|1|0
105|104|13890|9|1|1
93|0|13899|0|0|0
94|93|13899|3|0|0
95|94|13899|3|1|0
96|95|13899|3|1|1
97|93|13899|9|0|0
98|97|13899|9|1|0
99|98|13899|9|1|1
106|0|13905|0|0|0
107|106|13905|3|0|0
108|107|13905|3|1|0
109|108|13905|3|1|1
110|0|13907|0|0|0
111|110|13907|2|0|0
112|111|13907|2|1|0
113|112|13907|2|1|1
114|110|13907|3|0|0
115|114|13907|3|1|0
116|115|13907|3|1|1
125|110|13907|10|0|0
126|125|13907|10|1|0
127|126|13907|10|1|1
128|110|13907|9|0|0
129|128|13907|9|1|0
130|129|13907|9|1|1
117|0|13910|0|0|0
118|117|13910|1|0|0
119|118|13910|1|1|0
120|119|13910|1|1|1
121|0|13912|0|0|0
122|121|13912|3|0|0
123|122|13912|3|1|0
124|123|13912|3|1|1
131|0|13918|0|0|0
132|131|13918|3|0|0
133|132|13918|3|1|0
134|133|13918|3|1|1
135|0|13920|0|0|0
136|135|13920|11|0|0
137|136|13920|11|1|0
138|137|13920|11|1|1
139|0|13921|0|0|0
140|139|13921|3|0|0
141|140|13921|3|1|0
142|141|13921|3|1|1
143|0|13924|0|0|0
144|143|13924|7|0|0
145|144|13924|7|1|0
146|145|13924|7|1|1
147|0|13929|0|0|0
148|147|13929|3|0|0
149|148|13929|3|1|0
150|149|13929|3|1|1
157|0|13922|0|0|0
158|157|13922|3|0|0
159|158|13922|3|1|0
160|159|13922|3|1|1
173|157|13922|9|0|0
174|173|13922|9|1|0
175|174|13922|9|1|1
161|0|13928|0|0|0
162|161|13928|3|0|0
163|162|13928|3|1|0
164|163|13928|3|1|1
165|0|13936|0|0|0
166|165|13936|3|0|0
167|166|13936|3|4|0
168|167|13936|3|4|1
169|0|13939|0|0|0
170|169|13939|1|0|0
171|170|13939|1|1|0
172|171|13939|1|1|1
176|0|13945|0|0|0
177|176|13945|2|0|0
178|177|13945|2|4|0
179|178|13945|2|4|1
180|0|13948|0|0|0
181|180|13948|1|0|0
182|181|13948|1|1|0
183|182|13948|1|1|1
187|0|13954|0|0|0
188|187|13954|3|0|0
189|188|13954|3|1|0
190|189|13954|3|1|1
191|0|12956|0|0|0
192|191|12956|9|0|0
193|192|12956|9|1|0
194|193|12956|9|1|1
