1|0|-1|0|0
172|1|-1|16|0
173|172|-1|16|13
182|1|-1|1|0
183|182|-1|1|9
2|0|0|0|0
4|2|0|1|0
5|4|0|1|1
8|4|0|1|2
89|4|0|1|3
118|4|0|1|5
121|4|0|1|12
176|4|0|1|9
6|2|0|12|0
7|6|0|12|1
43|6|0|12|3
152|6|0|12|13
179|6|0|12|14
12|2|0|15|0
13|12|0|15|1
14|12|0|15|3
16|12|0|15|5
134|12|0|15|4
19|2|0|11|0
20|19|0|11|1
32|19|0|11|3
55|19|0|11|7
112|19|0|11|12
114|19|0|11|4
145|19|0|11|2
146|19|0|11|11
149|19|0|11|9
24|2|0|4|0
25|24|0|4|1
53|24|0|4|3
54|24|0|4|10
139|24|0|4|12
160|24|0|4|13
26|2|0|5|0
27|26|0|5|1
28|26|0|5|2
29|26|0|5|3
82|26|0|5|5
33|2|0|7|0
34|33|0|7|3
39|33|0|7|2
40|33|0|7|9
108|33|0|7|5
170|33|0|7|12
41|2|0|13|0
42|41|0|13|3
64|41|0|13|4
67|41|0|13|2
68|41|0|13|1
158|41|0|13|5
48|2|0|9|0
49|48|0|9|4
51|48|0|9|2
52|48|0|9|3
131|48|0|9|12
132|48|0|9|13
133|48|0|9|10
59|2|0|14|0
60|59|0|14|4
61|59|0|14|3
69|59|0|14|2
70|2|0|22|0
71|70|0|22|1
174|70|0|22|3
72|2|0|16|0
73|72|0|16|4
74|72|0|16|3
81|72|0|16|5
104|72|0|16|13
129|72|0|16|1
130|72|0|16|10
147|72|0|16|7
148|72|0|16|9
175|72|0|16|2
77|2|0|20|0
78|77|0|20|1
105|77|0|20|4
154|77|0|20|2
83|2|0|6|0
84|83|0|6|1
87|2|0|8|0
88|87|0|8|5
156|87|0|8|13
92|2|0|2|0
93|92|0|2|3
94|92|0|2|11
113|92|0|2|12
137|92|0|2|1
95|2|0|19|0
96|95|0|19|5
97|95|0|19|4
99|95|0|19|13
100|2|0|17|0
101|100|0|17|5
102|100|0|17|14
103|100|0|17|3
110|2|0|10|0
111|110|0|10|1
127|2|0|23|0
128|127|0|23|1
144|127|0|23|2
150|2|0|3|0
151|150|0|3|2
157|150|0|3|1
162|2|0|18|0
163|162|0|18|1
177|2|0|21|0
178|177|0|21|13
3|0|1|0|0
9|3|1|15|0
10|9|1|15|2
11|9|1|15|3
15|9|1|15|4
17|9|1|15|6
18|9|1|15|1
142|9|1|15|14
143|9|1|15|12
21|3|1|8|0
22|21|1|8|4
23|21|1|8|7
123|21|1|8|14
30|3|1|14|0
31|30|1|14|2
62|30|1|14|3
109|30|1|14|1
117|30|1|14|4
161|30|1|14|14
35|3|1|19|0
36|35|1|19|1
37|35|1|19|8
38|35|1|19|3
50|35|1|19|5
98|35|1|19|12
44|3|1|16|0
45|44|1|16|5
171|44|1|16|3
46|3|1|3|0
47|46|1|3|2
56|3|1|11|0
57|56|1|11|2
58|56|1|11|3
63|56|1|11|5
65|3|1|20|0
66|65|1|20|5
75|3|1|7|0
76|75|1|7|2
120|75|1|7|3
79|3|1|13|0
80|79|1|13|3
159|79|1|13|11
85|3|1|5|0
86|85|1|5|5
153|85|1|5|4
90|3|1|1|0
91|90|1|1|3
119|90|1|1|5
138|90|1|1|12
180|90|1|1|11
181|90|1|1|9
106|3|1|22|0
107|106|1|22|3
115|3|1|17|0
116|115|1|17|3
122|115|1|17|14
124|3|1|12|0
125|124|1|12|11
126|124|1|12|3
135|3|1|23|0
136|135|1|23|3
140|3|1|4|0
141|140|1|4|14
155|140|1|4|13
164|3|1|21|0
165|164|1|21|11
166|3|1|10|0
167|166|1|10|14
168|3|1|2|0
169|168|1|2|2
