1|0|1|0|0|0|0
7|1|1|3|1|4479|0
12|1|1|3|2|4486|0
15|1|1|4|1|4873|0
16|1|1|4|2|4880|0
51|1|1|2|0|6480|0
77|1|1|1|0|6484|0
78|1|1|1|10|6484|0
79|1|1|3|7|4502|0
80|1|1|3|10|4380|0
90|1|1|8|0|6481|0
91|1|1|8|10|6481|0
92|1|1|2|10|6480|0
93|1|1|4|7|4896|0
94|1|1|4|41|4774|0
95|1|1|4|3|4891|0
146|1|1|2|61|6480|0
161|1|1|1|55|6484|0
162|1|1|1|8|6484|0
186|1|1|1|538|6484|0
187|1|1|1|539|6484|0
188|1|1|8|8|6481|0
2|0|2|0|0|0|0
4|2|2|1|0|2190|0
5|2|2|1|1|2200|0
8|2|2|2|0|1243|0
9|2|2|2|1|1253|0
11|2|2|2|2|1254|0
13|2|2|3|0|1376|0
14|2|2|3|1|1475|0
17|2|2|4|0|1797|0
18|2|2|4|1|1807|0
19|2|2|5|0|1666|0
20|2|2|4|2|1808|0
23|2|2|2|6|1243|0
24|2|2|3|6|1376|0
25|2|2|3|7|1507|0
26|2|2|3|2|1482|0
27|2|2|7|0|1521|0
28|2|2|2|7|1257|0
29|2|2|2|8|1243|0
30|2|2|2|9|1254|0
32|2|2|2|10|1243|0
33|2|2|2|11|1245|0
34|2|2|2|3|1256|0
35|2|2|2|12|1245|0
36|2|2|2|13|1256|0
37|2|2|2|5|1247|0
38|2|2|2|14|1243|0
39|2|2|2|15|1243|0
40|2|2|2|16|1245|0
41|2|2|2|17|1243|0
42|2|2|2|18|1244|0
43|2|2|2|4|1260|0
44|2|2|2|19|1259|0
45|2|2|2|20|1249|0
46|2|2|2|21|1298|0
47|2|2|2|22|1246|0
48|2|2|8|0|1928|0
49|2|2|8|10|1928|0
50|2|2|8|7|1942|0
52|2|2|1|10|2190|0
53|2|2|1|7|2204|0
54|2|2|1|13|2203|0
55|2|2|1|11|2192|0
56|2|2|1|23|2194|0
57|2|2|1|24|2191|0
58|2|2|1|14|2190|0
59|2|2|1|22|2193|0
60|2|2|1|25|2202|0
61|2|2|1|3|2203|0
62|2|2|1|26|2190|0
63|2|2|1|27|2193|0
64|2|2|1|28|2190|0
65|2|2|1|29|2190|0
66|2|2|1|4|2207|0
67|2|2|1|19|2206|0
68|2|2|1|20|2196|0
69|2|2|1|30|2195|0
96|2|2|1|2|2201|0
97|2|2|1|36|2198|0
98|2|2|1|5|2194|0
99|2|2|1|42|2190|0
100|2|2|1|15|2190|0
115|2|2|1|47|2199|0
116|2|2|1|48|2202|0
117|2|2|1|37|2197|0
118|2|2|1|43|2190|0
119|2|2|1|49|2190|0
120|2|2|1|45|2190|0
121|2|2|1|50|2190|0
122|2|2|1|51|2190|0
123|2|2|1|52|2190|0
124|2|2|1|53|2190|0
125|2|2|1|54|2190|0
126|2|2|1|55|2190|0
127|2|2|8|2|1939|0
128|2|2|8|3|1941|0
129|2|2|8|56|1936|0
130|2|2|8|57|1929|0
131|2|2|8|4|1945|0
132|2|2|8|30|1933|0
133|2|2|1|40|2204|0
134|2|2|1|32|2197|0
135|2|2|2|32|1250|0
136|2|2|2|24|1244|0
137|2|2|1|58|2197|0
139|2|2|1|59|2205|0
144|2|2|8|40|1942|0
150|2|2|1|8|2190|0
151|2|2|2|59|1258|0
152|2|2|2|48|1255|0
153|2|2|2|47|1252|0
155|2|2|1|34|2190|0
156|2|2|1|60|2190|0
157|2|2|1|62|2205|0
160|2|2|1|65|2190|0
165|2|2|1|44|2190|0
166|2|2|1|61|2190|0
167|2|2|1|33|2198|0
168|2|2|1|66|2204|0
169|2|2|1|67|2190|0
170|2|2|1|68|2191|0
173|2|2|1|71|2190|0
175|2|2|1|73|2190|0
176|2|2|1|74|2190|0
177|2|2|1|75|2190|0
178|2|2|1|6|2190|0
179|2|2|1|76|2190|0
180|2|2|1|77|2190|0
181|2|2|1|78|2190|0
182|2|2|1|79|2204|0
183|2|2|1|536|2190|0
184|2|2|1|537|2254|0
185|2|2|11|1|2698|0
190|2|2|1|546|2194|0
191|2|2|1|545|2203|0
192|2|2|1|9|2201|0
193|2|2|1|549|2190|0
194|2|2|1|550|2190|0
195|2|2|1|495|2190|0
196|2|2|1|551|2190|0
197|2|2|1|283|2190|0
199|2|2|1|208|2190|0
3|0|3|0|0|0|0
6|3|3|1|2|6213|0
10|3|3|2|0|6476|0
21|3|3|6|2|5962|0
22|3|3|3|0|6364|0
31|3|3|2|8|6476|0
70|3|3|1|3|6222|0
71|3|3|1|31|6100|0
72|3|3|1|32|6192|0
73|3|3|1|8|6100|0
74|3|3|1|33|6200|0
75|3|3|1|34|6100|0
76|3|3|1|24|6155|0
81|3|3|3|10|6364|0
82|3|3|3|38|6364|0
83|3|3|3|22|6374|0
84|3|3|3|24|6365|0
85|3|3|3|1|6406|0
86|3|3|3|14|6364|0
87|3|3|3|4|6419|0
88|3|3|3|30|6390|0
89|3|3|3|39|6364|0
101|3|3|1|7|6226|0
102|3|3|1|10|6100|0
103|3|3|1|37|6192|0
104|3|3|1|5|6179|0
105|3|3|1|36|6200|0
106|3|3|1|27|6109|0
107|3|3|1|20|6184|0
108|3|3|1|19|6231|0
109|3|3|1|30|6125|0
110|3|3|1|43|6100|0
111|3|3|1|44|6100|0
112|3|3|1|11|6167|0
113|3|3|1|45|6100|0
114|3|3|1|46|6100|0
138|3|3|8|0|5704|0
140|3|3|8|3|5826|0
141|3|3|8|2|5817|0
142|3|3|8|60|5704|0
143|3|3|8|7|5830|0
145|3|3|1|22|6109|0
147|3|3|2|54|6476|0
148|3|3|1|48|6219|0
149|3|3|1|59|6229|0
154|3|3|2|10|6476|0
158|3|3|2|63|6476|0
159|3|3|2|64|6476|0
163|3|3|1|1|6141|0
164|3|3|1|4|6154|0
171|3|3|1|69|6167|0
172|3|3|1|70|6226|0
174|3|3|1|72|6100|0
189|3|3|1|40|6226|0
198|3|3|1|552|6100|0
200|3|3|1|6|6100|0
