1|0|#|99
2|0|#|106
21|2|#|173
40|2|#|106
109|2|#|214
111|109|#|468
3|0|#|107
4|0|#|108
12|4|#|150
16|4|#|163
526|16|#|553
33|4|#|211
46|4|#|145
205|4|#|391
287|4|#|980
538|4|#|108
565|4|#|239
579|4|#|133
131|4|#|553
207|4|#|319
610|207|#|623
767|207|#|1184
241|4|#|191
521|4|#|491
884|521|#|1039
541|4|#|722
595|4|#|397
596|595|#|145
612|4|#|152
613|612|#|722
642|4|#|328
643|642|#|580
650|4|#|690
664|4|#|2
665|664|#|108
666|665|#|690
675|4|#|11
676|675|#|391
691|675|#|980
754|675|#|145
952|675|#|133
1048|675|#|1957
1054|675|#|211
1064|675|#|170
1081|675|#|553
1084|675|#|2029
1031|4|#|1044
1057|4|#|1804
1086|4|#|599
1286|1086|#|11
1287|1286|#|391
1096|4|#|1072
1231|4|#|1806
1318|4|#|349
1319|4|#|568
5|0|#|114
6|0|#|119
7|0|#|126
523|7|#|191
8|0|#|133
9|0|#|141
10|0|#|146
11|10|#|148
26|10|#|99
80|10|#|350
137|10|#|349
396|10|#|327
769|10|#|1299
13|0|#|151
14|13|#|152
20|13|#|174
253|13|#|821
828|13|#|1201
1153|13|#|1206
15|0|#|161
17|0|#|168
18|0|#|170
19|18|#|173
478|18|#|133
996|18|#|20
997|996|#|641
1020|18|#|100
1021|1020|#|1871
1065|1020|#|582
1396|1020|#|2272
1071|18|#|2000
1078|18|#|2018
1087|18|#|1996
1155|18|#|34
1218|1155|#|2114
1240|1155|#|2118
1194|18|#|126
1274|18|#|152
1275|1274|#|2212
1331|1274|#|436
1296|18|#|2271
1297|18|#|2270
1300|18|#|2272
1301|18|#|436
1325|18|#|2300
1326|18|#|2298
1373|18|#|214
1374|1373|#|2344
1375|1373|#|2341
1384|18|#|2350
1399|18|#|2369
22|0|#|178
23|0|#|179
24|0|#|183
25|24|#|186
336|24|#|391
1256|24|#|520
27|0|#|191
28|27|#|193
983|27|#|1790
29|0|#|197
30|29|#|204
31|29|#|208
34|0|#|173
35|34|#|214
36|35|#|215
37|36|#|172
78|34|#|347
104|34|#|449
38|0|#|222
41|0|#|229
42|0|#|236
43|0|#|100
44|43|#|240
45|44|#|106
143|44|#|406
164|44|#|582
90|43|#|396
120|43|#|509
