1|2|2,3||7
3|2|2,3|2|14
8|2|2,3|7|13,14
12|2|2,3|11|13,14
19|2|1,2||17
21|2|1,2|2|2,17
26|2|1,2|7|7
30|2|1,2|11|6,17
31|2|1,2|12|16,17
32|2|1,2|13|9,17
33|2|1,2|14|17
34|2|1,2|15|1,17
35|2|1,2|16|6,17
36|2|1,2|17|14,17
37|2|2||1
38|2|2|1|1,8
39|2|2|2|14
40|2|2|3|1,15
41|2|2|4|14
42|2|2|5|6
43|2|2|6|6
44|2|2|7|4,7
45|2|2|8|4,50
46|2|2|9|1
47|2|2|10|1,12,15
48|2|2|11|11,14
49|2|2|12|1,12
50|2|2|13|1,13
51|2|2|14|1,14
52|2|2|15|1,15
53|2|2|16|1,16
54|2|2|17|13,14
55|2|7||1
56|2|7|1|21
57|2|7|2|1
58|2|7|3|1,15
59|2|7|4|1,9
60|2|7|5|1,9
61|2|7|6|1,6
62|2|7|7|1,7
63|2|7|8|1,50
64|2|7|9|1,15
65|2|7|10|12,15
66|2|7|11|1,6
67|2|7|12|1,15
68|2|7|13|1,6
69|2|7|14|1,15
70|2|7|15|1,21
71|2|7|16|1,9
72|2|7|17|6
73|2|11||11,16
74|2|11|1|1,16
75|2|11|2|14
76|2|11|3|1,16
77|2|11|4|14
78|2|11|5|11,14
79|2|11|6|6,16
80|2|11|7|7,14
81|2|11|8|8,50
82|2|11|9|16
83|2|11|10|1,16
84|2|11|11|11,14
85|2|11|12|11
86|2|11|13|13,14
87|2|11|14|13,14
88|2|11|15|1,11
89|2|11|16|11,14,16
90|2|11|17|11,13,14
91|2|2|1,3|1,15
92|2|2|1,4|1,14
93|2|2|1,5|1,14
94|2|2|1,6|1,6
95|2|2|1,7|7
96|2|2|1,8|50
97|2|2|1,9|9
98|2|2|1,10|1,12,15
99|2|2|1,11|1,6
100|2|2|1,12|1,15
101|2|2|1,13|9
102|2|2|1,14|1,14
103|2|2|1,15|1,15
104|2|2|1,16|9
105|2|2|1,17|14
106|2|2|2,3|1,15
107|2|2|2,4|1,14
108|2|2|2,5|6
109|2|2|2,6|6
110|2|2|2,7|7
111|2|2|2,8|50
112|2|2|2,9|9
113|2|2|2,10|1,12
114|2|2|2,11|1,14
115|2|2|2,12|1,15
116|2|2|2,13|1,13
117|2|2|2,14|1,14
118|2|2|2,15|1,15
119|2|2|2,16|9
120|2|2|2,17|14
121|2|2|3,5|1,15
122|2|2|3,6|1,15
123|2|2|3,7|1,15
124|2|2|3,8|1,15,50
125|2|2|3,9|1,15
126|2|2|3,10|1,12,15
127|2|2|3,12|1,12
128|2|2|3,13|1,15
129|2|2|3,14|1,15
130|2|2|3,15|1,15
131|2|2|3,16|1,15
132|2|2|3,17|1,15
133|2|2|4,5|14
134|2|2|4,9|1,14
135|2|2|4,10|1,15
136|2|2|4,12|1,15
137|2|2|4,14|1,14
138|2|2|4,15|1,15
139|2|2|4,17|1,14
140|2|2|5,6|1,6
141|2|2|5,7|1,7
142|2|2|5,8|1,50
143|2|2|5,9|1,14
144|2|2|5,11|1,14
145|2|2|5,13|1,13,14
146|2|2|5,14|1,14
147|2|2|5,16|14
148|2|2|5,17|14
149|2|2|6,7|1,4,6,7
150|2|2|6,8|1,6,50
151|2|2|6,9|1,6
152|2|2|6,11|1,6,14
153|2|2|6,13|1,6,13,14
154|2|2|6,14|1,6,14
155|2|2|6,16|1,6,16
156|2|2|6,17|1,6,14
157|2|2|7,8|4,7,50
158|2|2|7,10|1,15
159|2|2|7,11|4,7,14
160|2|2|7,12|1,15
161|2|2|7,13|4,7,14
162|2|2|7,14|4,7,14
163|2|2|7,15|1,15
164|2|2|7,16|4,7,14
165|2|2|7,17|1,7,14
166|2|2|8,11|4,50
167|2|2|8,12|1,15,50
168|2|2|8,13|4,50
169|2|2|8,14|4,50
170|2|2|8,15|1,15,50
171|2|2|8,16|1,4,50
172|2|2|8,17|1,50
173|2|2|9,10|1,12
174|2|2|9,12|1,12
175|2|2|9,13|1
176|2|2|9,14|1
177|2|2|9,15|1,15
178|2|2|9,16|1
